"TIME","GEO","INDIC_TO","UNIT","NACE_R2","Value","Flag and Footnotes"
"1990","European Union (28 countries)","Nights spent, total","Number","Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",":",""
"1990","European Union (27 countries)","Nights spent, total","Number","Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",":",""
"1990","Belgium","Nights spent, total","Number","Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks","31,605,550",""
"1990","Bulgaria","Nights spent, total","Number","Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks","30,557,115",""
"1990","Czech Republic","Nights spent, total","Number","Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks","22,804,000",""
"1990","Denmark","Nights spent, total","Number","Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks","22,671,680",""
"1990","Germany (until 1990 former territory of the FRG)","Nights spent, total","Number","Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks","235,136,448",""
"1990","Estonia","Nights spent, total","Number","Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",":",""
"1990","Ireland","Nights spent, total","Number","Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",":",""
"1990","Greece","Nights spent, total","Number","Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",":",""
"1990","Spain","Nights spent, total","Number","Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks","142,392,734",""
"1990","France","Nights spent, total","Number","Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks","238,686,651",""
"1990","Croatia","Nights spent, total","Number","Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",":",""
"1990","Italy","Nights spent, total","Number","Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks","252,216,039",""
"1990","Cyprus","Nights spent, total","Number","Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks","10,359,854",""
"1990","Latvia","Nights spent, total","Number","Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",":",""
"1990","Lithuania","Nights spent, total","Number","Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",":",""
"1990","Luxembourg","Nights spent, total","Number","Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks","2,731,612",""
"1990","Hungary","Nights spent, total","Number","Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",":",""
"1990","Malta","Nights spent, total","Number","Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",":",""
"1990","Netherlands","Nights spent, total","Number","Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks","55,827,100",""
"1990","Austria","Nights spent, total","Number","Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks","93,825,072",""
"1990","Poland","Nights spent, total","Number","Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",":",""
"1990","Portugal","Nights spent, total","Number","Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks","32,555,858",""
"1990","Romania","Nights spent, total","Number","Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks","44,552,000",""
"1990","Slovenia","Nights spent, total","Number","Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks","7,410,000",""
"1990","Slovakia","Nights spent, total","Number","Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks","10,255,994",""
"1990","Finland","Nights spent, total","Number","Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks","13,090,731",""
"1990","Sweden","Nights spent, total","Number","Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks","33,686,581",""
"1990","United Kingdom","Nights spent, total","Number","Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks","257,166,564",""
"1990","Iceland","Nights spent, total","Number","Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks","1,028,478",""
"1990","Liechtenstein","Nights spent, total","Number","Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks","214,116",""
"1990","Norway","Nights spent, total","Number","Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks","17,419,078",""
"1990","Switzerland","Nights spent, total","Number","Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks","75,874,791",""
"1990","Montenegro","Nights spent, total","Number","Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",":",""
"1990","Former Yugoslav Republic of Macedonia, the","Nights spent, total","Number","Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks","2,232,229",""
"1990","Serbia","Nights spent, total","Number","Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",":",""
"1990","Turkey","Nights spent, total","Number","Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",":",""
"1991","European Union (28 countries)","Nights spent, total","Number","Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",":",""
"1991","European Union (27 countries)","Nights spent, total","Number","Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",":",""
"1991","Belgium","Nights spent, total","Number","Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks","29,481,713",""
"1991","Bulgaria","Nights spent, total","Number","Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks","11,004,173",""
"1991","Czech Republic","Nights spent, total","Number","Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks","14,194,000",""
"1991","Denmark","Nights spent, total","Number","Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks","23,871,400",""
"1991","Germany (until 1990 former territory of the FRG)","Nights spent, total","Number","Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks","285,115,252",""
"1991","Estonia","Nights spent, total","Number","Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",":",""
"1991","Ireland","Nights spent, total","Number","Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",":",""
"1991","Greece","Nights spent, total","Number","Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",":",""
"1991","Spain","Nights spent, total","Number","Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks","150,315,693",""
"1991","France","Nights spent, total","Number","Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks","235,901,025",""
"1991","Croatia","Nights spent, total","Number","Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",":",""
"1991","Italy","Nights spent, total","Number","Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks","259,059,719",""
"1991","Cyprus","Nights spent, total","Number","Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks","9,367,379",""
"1991","Latvia","Nights spent, total","Number","Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",":",""
"1991","Lithuania","Nights spent, total","Number","Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",":",""
"1991","Luxembourg","Nights spent, total","Number","Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks","2,913,924",""
"1991","Hungary","Nights spent, total","Number","Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",":",""
"1991","Malta","Nights spent, total","Number","Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",":",""
"1991","Netherlands","Nights spent, total","Number","Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks","56,346,400",""
"1991","Austria","Nights spent, total","Number","Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks","97,412,703",""
"1991","Poland","Nights spent, total","Number","Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks","46,685,782",""
"1991","Portugal","Nights spent, total","Number","Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks","35,361,425",""
"1991","Romania","Nights spent, total","Number","Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks","31,927,000",""
"1991","Slovenia","Nights spent, total","Number","Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks","4,658,000",""
"1991","Slovakia","Nights spent, total","Number","Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks","6,405,271",""
"1991","Finland","Nights spent, total","Number","Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks","12,315,515",""
"1991","Sweden","Nights spent, total","Number","Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks","28,837,716",""
"1991","United Kingdom","Nights spent, total","Number","Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks","248,593,186",""
"1991","Iceland","Nights spent, total","Number","Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks","1,060,284",""
"1991","Liechtenstein","Nights spent, total","Number","Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",":",""
"1991","Norway","Nights spent, total","Number","Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",":",""
"1991","Switzerland","Nights spent, total","Number","Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks","76,900,363",""
"1991","Montenegro","Nights spent, total","Number","Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",":",""
"1991","Former Yugoslav Republic of Macedonia, the","Nights spent, total","Number","Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks","1,989,911",""
"1991","Serbia","Nights spent, total","Number","Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",":",""
"1991","Turkey","Nights spent, total","Number","Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",":",""
"1992","European Union (28 countries)","Nights spent, total","Number","Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",":",""
"1992","European Union (27 countries)","Nights spent, total","Number","Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",":",""
"1992","Belgium","Nights spent, total","Number","Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks","27,336,179",""
"1992","Bulgaria","Nights spent, total","Number","Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks","12,157,168",""
"1992","Czech Republic","Nights spent, total","Number","Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks","13,481,000",""
"1992","Denmark","Nights spent, total","Number","Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks","25,688,900",""
"1992","Germany (until 1990 former territory of the FRG)","Nights spent, total","Number","Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks","318,318,099",""
"1992","Estonia","Nights spent, total","Number","Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",":",""
"1992","Ireland","Nights spent, total","Number","Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",":",""
"1992","Greece","Nights spent, total","Number","Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",":",""
"1992","Spain","Nights spent, total","Number","Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks","147,246,235",""
"1992","France","Nights spent, total","Number","Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks","247,636,832",""
"1992","Croatia","Nights spent, total","Number","Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",":",""
"1992","Italy","Nights spent, total","Number","Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks","257,211,668",""
"1992","Cyprus","Nights spent, total","Number","Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks","14,453,392",""
"1992","Latvia","Nights spent, total","Number","Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",":",""
"1992","Lithuania","Nights spent, total","Number","Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",":",""
"1992","Luxembourg","Nights spent, total","Number","Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks","2,673,190",""
"1992","Hungary","Nights spent, total","Number","Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",":",""
"1992","Malta","Nights spent, total","Number","Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",":",""
"1992","Netherlands","Nights spent, total","Number","Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks","58,577,700",""
"1992","Austria","Nights spent, total","Number","Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks","97,748,365",""
"1992","Poland","Nights spent, total","Number","Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks","44,352,505",""
"1992","Portugal","Nights spent, total","Number","Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks","33,724,054",""
"1992","Romania","Nights spent, total","Number","Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks","26,076,000",""
"1992","Slovenia","Nights spent, total","Number","Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks","4,911,174",""
"1992","Slovakia","Nights spent, total","Number","Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks","4,285,756",""
"1992","Finland","Nights spent, total","Number","Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks","11,873,045",""
"1992","Sweden","Nights spent, total","Number","Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks","29,556,580",""
"1992","United Kingdom","Nights spent, total","Number","Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks","259,049,413",""
"1992","Iceland","Nights spent, total","Number","Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks","1,025,693",""
"1992","Liechtenstein","Nights spent, total","Number","Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",":",""
"1992","Norway","Nights spent, total","Number","Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",":",""
"1992","Switzerland","Nights spent, total","Number","Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks","76,217,546",""
"1992","Montenegro","Nights spent, total","Number","Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",":",""
"1992","Former Yugoslav Republic of Macedonia, the","Nights spent, total","Number","Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks","1,701,074",""
"1992","Serbia","Nights spent, total","Number","Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",":",""
"1992","Turkey","Nights spent, total","Number","Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",":",""
"1993","European Union (28 countries)","Nights spent, total","Number","Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",":",""
"1993","European Union (27 countries)","Nights spent, total","Number","Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",":",""
"1993","Belgium","Nights spent, total","Number","Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks","27,394,957",""
"1993","Bulgaria","Nights spent, total","Number","Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks","12,711,442",""
"1993","Czech Republic","Nights spent, total","Number","Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks","14,616,000",""
"1993","Denmark","Nights spent, total","Number","Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks","24,384,400",""
"1993","Germany (until 1990 former territory of the FRG)","Nights spent, total","Number","Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks","311,200,613",""
"1993","Estonia","Nights spent, total","Number","Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",":",""
"1993","Ireland","Nights spent, total","Number","Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",":",""
"1993","Greece","Nights spent, total","Number","Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",":",""
"1993","Spain","Nights spent, total","Number","Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks","156,991,105",""
"1993","France","Nights spent, total","Number","Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks","246,481,901",""
"1993","Croatia","Nights spent, total","Number","Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks","12,459,736",""
"1993","Italy","Nights spent, total","Number","Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks","253,343,060",""
"1993","Cyprus","Nights spent, total","Number","Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks","12,632,824",""
"1993","Latvia","Nights spent, total","Number","Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",":",""
"1993","Lithuania","Nights spent, total","Number","Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",":",""
"1993","Luxembourg","Nights spent, total","Number","Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks","2,920,052",""
"1993","Hungary","Nights spent, total","Number","Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks","15,661,417",""
"1993","Malta","Nights spent, total","Number","Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",":",""
"1993","Netherlands","Nights spent, total","Number","Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks","56,168,400",""
"1993","Austria","Nights spent, total","Number","Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks","94,839,770",""
"1993","Poland","Nights spent, total","Number","Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",":",""
"1993","Portugal","Nights spent, total","Number","Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks","32,122,878",""
"1993","Romania","Nights spent, total","Number","Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks","24,768,000",""
"1993","Slovenia","Nights spent, total","Number","Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks","5,165,595",""
"1993","Slovakia","Nights spent, total","Number","Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks","4,716,549",""
"1993","Finland","Nights spent, total","Number","Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks","12,666,181",""
"1993","Sweden","Nights spent, total","Number","Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks","30,521,908",""
"1993","United Kingdom","Nights spent, total","Number","Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks","256,895,238",""
"1993","Iceland","Nights spent, total","Number","Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks","1,022,289",""
"1993","Liechtenstein","Nights spent, total","Number","Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",":",""
"1993","Norway","Nights spent, total","Number","Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",":",""
"1993","Switzerland","Nights spent, total","Number","Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks","74,871,660",""
"1993","Montenegro","Nights spent, total","Number","Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",":",""
"1993","Former Yugoslav Republic of Macedonia, the","Nights spent, total","Number","Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks","1,689,278",""
"1993","Serbia","Nights spent, total","Number","Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",":",""
"1993","Turkey","Nights spent, total","Number","Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",":",""
"1994","European Union (28 countries)","Nights spent, total","Number","Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",":",""
"1994","European Union (27 countries)","Nights spent, total","Number","Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",":",""
"1994","Belgium","Nights spent, total","Number","Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks","27,363,522",""
"1994","Bulgaria","Nights spent, total","Number","Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks","11,132,370",""
"1994","Czech Republic","Nights spent, total","Number","Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks","17,800,893",""
"1994","Denmark","Nights spent, total","Number","Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks","24,970,100",""
"1994","Germany (until 1990 former territory of the FRG)","Nights spent, total","Number","Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks","272,250,726",""
"1994","Estonia","Nights spent, total","Number","Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",":",""
"1994","Ireland","Nights spent, total","Number","Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",":",""
"1994","Greece","Nights spent, total","Number","Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks","53,435,111",""
"1994","Spain","Nights spent, total","Number","Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks","174,833,318",""
"1994","France","Nights spent, total","Number","Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks","251,318,650",""
"1994","Croatia","Nights spent, total","Number","Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks","18,322,286",""
"1994","Italy","Nights spent, total","Number","Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks","274,752,959",""
"1994","Cyprus","Nights spent, total","Number","Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks","14,664,864",""
"1994","Latvia","Nights spent, total","Number","Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",":",""
"1994","Lithuania","Nights spent, total","Number","Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks","2,391,307",""
"1994","Luxembourg","Nights spent, total","Number","Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks","2,675,236",""
"1994","Hungary","Nights spent, total","Number","Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks","16,468,234",""
"1994","Malta","Nights spent, total","Number","Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",":",""
"1994","Netherlands","Nights spent, total","Number","Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks","56,172,100",""
"1994","Austria","Nights spent, total","Number","Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks","91,569,491",""
"1994","Poland","Nights spent, total","Number","Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",":",""
"1994","Portugal","Nights spent, total","Number","Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks","34,455,693",""
"1994","Romania","Nights spent, total","Number","Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks","23,295,000",""
"1994","Slovenia","Nights spent, total","Number","Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks","5,691,821",""
"1994","Slovakia","Nights spent, total","Number","Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks","6,348,535",""
"1994","Finland","Nights spent, total","Number","Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks","13,467,190",""
"1994","Sweden","Nights spent, total","Number","Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks","34,898,900",""
"1994","United Kingdom","Nights spent, total","Number","Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks","285,248,355",""
"1994","Iceland","Nights spent, total","Number","Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks","1,118,000",""
"1994","Liechtenstein","Nights spent, total","Number","Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks","184,048",""
"1994","Norway","Nights spent, total","Number","Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",":",""
"1994","Switzerland","Nights spent, total","Number","Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks","74,141,570",""
"1994","Montenegro","Nights spent, total","Number","Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",":",""
"1994","Former Yugoslav Republic of Macedonia, the","Nights spent, total","Number","Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",":",""
"1994","Serbia","Nights spent, total","Number","Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",":",""
"1994","Turkey","Nights spent, total","Number","Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",":",""
"1995","European Union (28 countries)","Nights spent, total","Number","Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",":",""
"1995","European Union (27 countries)","Nights spent, total","Number","Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",":",""
"1995","Belgium","Nights spent, total","Number","Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks","28,014,668",""
"1995","Bulgaria","Nights spent, total","Number","Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks","9,987,348",""
"1995","Czech Republic","Nights spent, total","Number","Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks","24,108,469",""
"1995","Denmark","Nights spent, total","Number","Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks","22,102,470",""
"1995","Germany (until 1990 former territory of the FRG)","Nights spent, total","Number","Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks","275,742,910",""
"1995","Estonia","Nights spent, total","Number","Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",":",""
"1995","Ireland","Nights spent, total","Number","Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks","24,583,000",""
"1995","Greece","Nights spent, total","Number","Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks","50,631,098",""
"1995","Spain","Nights spent, total","Number","Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks","180,141,161",""
"1995","France","Nights spent, total","Number","Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks","242,674,214",""
